onset	duration	sample	trial_type	stim_file	value
7.4434	0.0	7623	response	n/a	202
9.6025	0.0	9834	response	n/a	202
13.6260	0.2	13954	stimulus	n/a	112
14.8086	0.2	15165	stimulus	n/a	212
15.3545	0.0	15724	response	n/a	201
16.5752	0.2	16974	stimulus	n/a	122
17.8076	0.2	18236	stimulus	n/a	222
19.0107	0.0	19468	response	n/a	201
19.4404	0.2	19908	stimulus	n/a	112
20.7236	0.2	21222	stimulus	n/a	212
21.5225	0.0	22040	response	n/a	201
22.4062	0.2	22945	stimulus	n/a	112
23.5723	0.2	24139	stimulus	n/a	212
23.9707	0.0	24547	response	n/a	201
25.2549	0.2	25862	stimulus	n/a	112
26.3877	0.2	27022	stimulus	n/a	212
26.8350	0.0	27480	response	n/a	201
28.0205	0.2	28694	stimulus	n/a	122
29.3203	0.2	30025	stimulus	n/a	222
29.9863	0.0	30707	response	n/a	201
31.0361	0.2	31782	stimulus	n/a	122
32.2695	0.2	33045	stimulus	n/a	222
33.4268	0.0	34230	response	n/a	201
33.9688	0.2	34785	stimulus	n/a	122
35.1182	0.2	35962	stimulus	n/a	222
36.0020	0.0	36867	response	n/a	201
36.8682	0.2	37754	stimulus	n/a	112
38.0508	0.2	38965	stimulus	n/a	212
38.6104	0.0	39538	response	n/a	201
39.7168	0.2	40671	stimulus	n/a	112
40.9160	0.2	41899	stimulus	n/a	212
41.6348	0.0	42635	response	n/a	201
42.6494	0.2	43674	stimulus	n/a	112
43.8818	0.2	44936	stimulus	n/a	212
44.5547	0.0	45625	response	n/a	201
45.5645	0.2	46659	stimulus	n/a	112
46.7979	0.2	47922	stimulus	n/a	212
47.2178	0.0	48352	response	n/a	201
48.5635	0.2	49730	stimulus	n/a	112
49.8135	0.2	51010	stimulus	n/a	212
50.2266	0.0	51433	response	n/a	201
51.4961	0.2	52733	stimulus	n/a	122
52.7617	0.2	54029	stimulus	n/a	222
53.3145	0.0	54595	response	n/a	201
54.4619	0.2	55770	stimulus	n/a	122
55.7275	0.2	57066	stimulus	n/a	222
56.4023	0.0	57757	response	n/a	201
57.5107	0.2	58892	stimulus	n/a	112
