onset	duration	sample	trial_type	stim_file	value
3.6123	0.0	3700	response	n/a	202
4.6279	0.0	4740	response	n/a	202
8.6846	0.5	8894	stimulus	n/a	212
9.3398	0.0	9565	response	n/a	201
10.2842	0.5	10532	stimulus	n/a	222
10.8203	0.0	11081	response	n/a	201
11.8340	0.5	12119	stimulus	n/a	212
12.3799	0.0	12678	response	n/a	201
13.3164	0.5	13637	stimulus	n/a	221
13.8037	0.0	14136	response	n/a	202
14.7666	0.5	15122	stimulus	n/a	211
15.4043	0.0	15775	response	n/a	201
16.2158	0.5	16606	stimulus	n/a	212
17.0684	0.0	17479	response	n/a	201
17.6816	0.5	18107	stimulus	n/a	222
18.4922	0.0	18937	response	n/a	202
19.2480	0.5	19711	stimulus	n/a	211
20.1162	0.0	20600	response	n/a	201
20.8477	0.5	21349	stimulus	n/a	212
21.5322	0.0	22050	response	n/a	201
22.3135	0.5	22850	stimulus	n/a	222
23.1396	0.0	23696	response	n/a	201
23.7793	0.5	24351	stimulus	n/a	221
24.5078	0.0	25097	response	n/a	201
25.2119	0.5	25818	stimulus	n/a	222
25.9395	0.0	26563	response	n/a	201
26.6289	0.5	27269	stimulus	n/a	222
27.6992	0.0	28365	response	n/a	201
28.2275	0.5	28906	stimulus	n/a	222
29.0039	0.0	29701	response	n/a	201
29.6777	0.5	30391	stimulus	n/a	212
30.2598	0.0	30987	response	n/a	201
31.0938	0.5	31841	stimulus	n/a	222
31.6357	0.0	32396	response	n/a	201
32.6934	0.5	33479	stimulus	n/a	211
33.2676	0.0	34067	response	n/a	201
34.2256	0.5	35048	stimulus	n/a	212
34.7715	0.0	35607	response	n/a	201
35.8086	0.5	36669	stimulus	n/a	212
36.3477	0.0	37221	response	n/a	201
37.3916	0.5	38290	stimulus	n/a	211
37.9072	0.0	38818	response	n/a	201
38.8408	0.5	39774	stimulus	n/a	221
39.4033	0.0	40350	response	n/a	202
40.3906	0.5	41361	stimulus	n/a	222
41.0352	0.0	42021	response	n/a	201
41.8730	0.5	42879	stimulus	n/a	212
42.6191	0.0	43643	response	n/a	201
43.4727	0.5	44517	stimulus	n/a	222
44.1875	0.0	45249	response	n/a	202
45.0557	0.5	46138	stimulus	n/a	212
45.8750	0.0	46977	response	n/a	201
46.5879	0.5	47707	stimulus	n/a	212
47.3711	0.0	48509	response	n/a	201
48.1875	0.5	49345	stimulus	n/a	211
49.1475	0.0	50328	response	n/a	201
49.7207	0.5	50915	stimulus	n/a	221
50.7471	0.0	51966	response	n/a	201
51.2363	0.5	52467	stimulus	n/a	212
51.8193	0.0	53064	response	n/a	201
52.7363	0.5	54003	stimulus	n/a	212
53.3955	0.0	54678	response	n/a	201
54.2852	0.5	55589	stimulus	n/a	221
54.8516	0.0	56169	response	n/a	201
55.8516	0.5	57193	stimulus	n/a	211
56.4990	0.0	57856	response	n/a	201
57.4346	0.5	58814	stimulus	n/a	212
58.0186	0.0	59412	response	n/a	201
58.9004	0.5	60315	stimulus	n/a	212
59.5869	0.0	61018	response	n/a	201
60.3662	0.5	61816	stimulus	n/a	211
60.9229	0.0	62386	response	n/a	201
61.9492	0.5	63437	stimulus	n/a	211
62.6992	0.0	64205	response	n/a	201
63.3652	0.5	64887	stimulus	n/a	211
63.9873	0.0	65524	response	n/a	201
64.8984	0.5	66457	stimulus	n/a	222
65.4512	0.0	67023	response	n/a	201
66.4307	0.5	68026	stimulus	n/a	211
67.2910	0.0	68907	response	n/a	201
67.8301	0.5	69459	stimulus	n/a	222
68.6504	0.0	70299	response	n/a	201
77.0938	0.5	78945	stimulus	n/a	221
77.6504	0.0	79515	response	n/a	201
78.5938	0.5	80481	stimulus	n/a	211
79.1709	0.0	81072	response	n/a	201
80.0928	0.5	82016	stimulus	n/a	212
80.7061	0.0	82644	response	n/a	201
81.5752	0.5	83534	stimulus	n/a	221
82.1543	0.0	84127	response	n/a	201
83.0918	0.5	85087	stimulus	n/a	211
83.8105	0.0	85823	response	n/a	201
84.6240	0.5	86656	stimulus	n/a	222
85.3623	0.0	87412	response	n/a	201
86.0908	0.5	88158	stimulus	n/a	211
