onset	duration	sample	trial_type	stim_file	value
27.6670	0.0	28332	response	n/a	222
29.8828	0.0	30601	response	n/a	222
34.1211	0.2	34941	stimulus	n/a	22
34.5781	0.0	35409	response	n/a	222
35.6367	0.2	36493	stimulus	n/a	22
35.9707	0.0	36835	response	n/a	222
37.1367	0.2	38029	stimulus	n/a	22
37.5469	0.0	38449	response	n/a	222
38.6865	0.2	39616	stimulus	n/a	22
39.0908	0.0	40030	response	n/a	222
40.1191	0.2	41083	stimulus	n/a	11
40.4746	0.0	41447	response	n/a	111
41.6514	0.2	42652	stimulus	n/a	12
41.9707	0.0	42979	response	n/a	212
43.2510	0.2	44290	stimulus	n/a	12
43.5703	0.0	44617	response	n/a	212
44.6836	0.2	45757	stimulus	n/a	21
45.0986	0.0	46182	response	n/a	121
46.1172	0.2	47225	stimulus	n/a	21
46.4424	0.0	47558	response	n/a	221
47.5166	0.2	48658	stimulus	n/a	12
47.8506	0.0	49000	response	n/a	212
48.9326	0.2	50108	stimulus	n/a	21
49.3701	0.0	50556	response	n/a	121
50.4316	0.2	51643	stimulus	n/a	12
50.7939	0.0	52014	response	n/a	212
51.8984	0.2	53145	stimulus	n/a	22
52.2744	0.0	53530	response	n/a	122
53.4307	0.2	54714	stimulus	n/a	21
53.8740	0.0	55168	response	n/a	121
54.8301	0.2	56147	stimulus	n/a	11
55.2578	0.0	56585	response	n/a	111
56.3799	0.2	57734	stimulus	n/a	21
56.8584	0.0	58224	response	n/a	121
57.8955	0.2	59286	stimulus	n/a	11
58.2500	0.0	59649	response	n/a	111
59.3457	0.2	60771	stimulus	n/a	11
59.6660	0.0	61099	response	n/a	111
60.8447	0.2	62306	stimulus	n/a	12
61.2422	0.0	62713	response	n/a	212
62.3447	0.2	63842	stimulus	n/a	12
62.6660	0.0	64171	response	n/a	212
63.9268	0.2	65462	stimulus	n/a	21
64.3223	0.0	65867	response	n/a	121
65.4102	0.2	66981	stimulus	n/a	11
65.7861	0.0	67366	response	n/a	111
66.8760	0.2	68482	stimulus	n/a	21
67.3535	0.0	68971	response	n/a	121
68.3760	0.2	70018	stimulus	n/a	22
68.9297	0.0	70585	response	n/a	222
69.7754	0.2	71451	stimulus	n/a	21
70.2412	0.0	71928	response	n/a	121
71.2412	0.2	72952	stimulus	n/a	12
71.6094	0.0	73329	response	n/a	212
72.7568	0.2	74504	stimulus	n/a	22
73.2178	0.0	74976	response	n/a	222
74.3232	0.2	76108	stimulus	n/a	12
74.6494	0.0	76442	response	n/a	212
75.7891	0.2	77609	stimulus	n/a	21
76.2178	0.0	78048	response	n/a	121
77.2891	0.2	79145	stimulus	n/a	11
77.6895	0.0	79555	response	n/a	111
78.7549	0.2	80646	stimulus	n/a	11
79.1377	0.0	81038	response	n/a	111
80.1709	0.2	82096	stimulus	n/a	21
80.5615	0.0	82496	response	n/a	121
81.6045	0.2	83564	stimulus	n/a	12
81.9775	0.0	83946	response	n/a	212
83.1865	0.2	85184	stimulus	n/a	11
83.5449	0.0	85551	response	n/a	111
84.7031	0.2	86737	stimulus	n/a	22
85.0977	0.0	87141	response	n/a	222
86.2529	0.2	88324	stimulus	n/a	12
86.5938	0.0	88673	response	n/a	212
87.8184	0.2	89927	stimulus	n/a	11
88.1611	0.0	90278	response	n/a	111
89.3350	0.2	91480	stimulus	n/a	22
89.8096	0.0	91966	response	n/a	222
90.9004	0.2	93083	stimulus	n/a	11
91.2256	0.0	93416	response	n/a	111
92.4502	0.2	94670	stimulus	n/a	22
92.8174	0.0	95046	response	n/a	222
114.1758	0.2	116917	stimulus	n/a	21
114.6172	0.0	117369	response	n/a	121
115.7588	0.2	118538	stimulus	n/a	12
116.0811	0.0	118868	response	n/a	212
117.2578	0.2	120073	stimulus	n/a	11
117.6006	0.0	120424	response	n/a	111
118.8242	0.2	121677	stimulus	n/a	12
119.1123	0.0	121972	response	n/a	212
120.3574	0.2	123247	stimulus	n/a	11
120.6885	0.0	123586	response	n/a	111
121.8564	0.2	124782	stimulus	n/a	22
122.2402	0.0	125175	response	n/a	222
123.4561	0.2	126420	stimulus	n/a	21
123.8643	0.0	126838	response	n/a	121
125.0391	0.2	128041	stimulus	n/a	12
125.3848	0.0	128395	response	n/a	212
126.6211	0.2	129661	stimulus	n/a	22
127.1289	0.0	130181	response	n/a	222
128.1211	0.2	131197	stimulus	n/a	12
128.4561	0.0	131540	response	n/a	212
129.5703	0.2	132681	stimulus	n/a	12
129.9365	0.0	133056	response	n/a	212
130.9863	0.2	134131	stimulus	n/a	12
131.3125	0.0	134465	response	n/a	212
132.4355	0.2	135615	stimulus	n/a	11
132.7607	0.0	135948	response	n/a	111
134.0186	0.2	137236	stimulus	n/a	22
134.4238	0.0	137651	response	n/a	222
135.5850	0.2	138840	stimulus	n/a	11
135.9199	0.0	139183	response	n/a	111
137.1680	0.2	140461	stimulus	n/a	21
137.6162	0.0	140920	response	n/a	121
138.7002	0.2	142030	stimulus	n/a	12
139.0078	0.0	142345	response	n/a	212
140.1504	0.2	143515	stimulus	n/a	11
140.4404	0.0	143812	response	n/a	111
141.7324	0.2	145135	stimulus	n/a	22
142.2002	0.0	145614	response	n/a	222
143.2822	0.2	146722	stimulus	n/a	12
143.6240	0.0	147072	response	n/a	212
144.8145	0.2	148291	stimulus	n/a	12
145.1279	0.0	148612	response	n/a	212
146.2314	0.2	149742	stimulus	n/a	22
146.5918	0.0	150111	response	n/a	122
147.6807	0.2	151226	stimulus	n/a	21
148.1279	0.0	151684	response	n/a	121
149.1465	0.2	152727	stimulus	n/a	11
149.5283	0.0	153118	response	n/a	111
150.5967	0.2	154212	stimulus	n/a	21
151.0479	0.0	154674	response	n/a	121
152.1621	0.2	155815	stimulus	n/a	22
152.5684	0.0	156231	response	n/a	222
153.5615	0.2	157248	stimulus	n/a	22
153.9355	0.0	157631	response	n/a	222
155.0615	0.2	158784	stimulus	n/a	22
155.4883	0.0	159221	response	n/a	222
156.5605	0.2	160319	stimulus	n/a	22
156.9355	0.0	160703	response	n/a	222
158.1104	0.2	161906	stimulus	n/a	11
158.4717	0.0	162276	response	n/a	111
159.6592	0.2	163492	stimulus	n/a	11
159.9922	0.0	163833	response	n/a	111
161.2256	0.2	165096	stimulus	n/a	11
161.5361	0.0	165414	response	n/a	111
162.7920	0.2	166700	stimulus	n/a	21
163.1113	0.0	167027	response	n/a	221
164.2910	0.2	168235	stimulus	n/a	21
164.6318	0.0	168584	response	n/a	221
165.7744	0.2	169754	stimulus	n/a	11
166.2715	0.0	170263	response	n/a	111
167.2568	0.2	171272	stimulus	n/a	21
167.7676	0.0	171795	response	n/a	121
168.7568	0.2	172808	stimulus	n/a	22
169.2959	0.0	173360	response	n/a	222
170.2891	0.2	174377	stimulus	n/a	12
170.6396	0.0	174736	response	n/a	212
171.7725	0.2	175896	stimulus	n/a	21
172.1514	0.0	176284	response	n/a	121
173.1719	0.2	177329	stimulus	n/a	21
173.6396	0.0	177808	response	n/a	121
192.1650	0.2	196778	stimulus	n/a	22
192.6230	0.0	197247	response	n/a	222
193.7305	0.2	198381	stimulus	n/a	11
194.0713	0.0	198730	response	n/a	111
195.2803	0.2	199968	stimulus	n/a	21
195.6865	0.0	200384	response	n/a	121
196.8467	0.2	201572	stimulus	n/a	11
197.1670	0.0	201900	response	n/a	111
198.2793	0.2	203039	stimulus	n/a	11
198.5986	0.0	203366	response	n/a	111
199.8789	0.2	204677	stimulus	n/a	11
200.1826	0.0	204988	response	n/a	111
201.2949	0.2	206127	stimulus	n/a	12
201.6230	0.0	206463	response	n/a	212
202.7773	0.2	207645	stimulus	n/a	21
203.1748	0.0	208052	response	n/a	121
204.3271	0.2	209232	stimulus	n/a	11
204.6709	0.0	209584	response	n/a	111
205.8936	0.2	210836	stimulus	n/a	11
206.2148	0.0	211165	response	n/a	111
207.4424	0.2	212422	stimulus	n/a	11
207.7432	0.0	212730	response	n/a	111
209.0088	0.2	214026	stimulus	n/a	22
209.3828	0.0	214409	response	n/a	222
210.4580	0.2	215510	stimulus	n/a	22
210.8145	0.0	215875	response	n/a	222
211.9746	0.2	217063	stimulus	n/a	22
212.3184	0.0	217415	response	n/a	122
213.4072	0.2	218530	stimulus	n/a	21
213.8701	0.0	219004	response	n/a	121
214.9395	0.2	220099	stimulus	n/a	12
215.3027	0.0	220471	response	n/a	212
216.3730	0.2	221567	stimulus	n/a	22
216.7822	0.0	221986	response	n/a	222
217.8721	0.2	223102	stimulus	n/a	11
218.2061	0.0	223444	response	n/a	111
219.4551	0.2	224723	stimulus	n/a	21
219.9023	0.0	225181	response	n/a	121
220.8877	0.2	226190	stimulus	n/a	22
221.3027	0.0	226615	response	n/a	222
222.4873	0.2	227828	stimulus	n/a	11
222.8389	0.0	228188	response	n/a	111
224.0703	0.2	229449	stimulus	n/a	22
224.4541	0.0	229842	response	n/a	222
225.6025	0.2	231018	stimulus	n/a	21
226.0225	0.0	231448	response	n/a	121
227.0527	0.2	232503	stimulus	n/a	12
227.3984	0.0	232857	response	n/a	212
228.5020	0.2	233987	stimulus	n/a	21
228.9023	0.0	234397	response	n/a	121
229.9180	0.2	235437	stimulus	n/a	12
230.2539	0.0	235781	response	n/a	212
231.4170	0.2	236972	stimulus	n/a	21
231.8301	0.0	237395	response	n/a	121
232.8164	0.2	238405	stimulus	n/a	22
233.2539	0.0	238853	response	n/a	222
234.3994	0.2	240026	stimulus	n/a	12
234.7744	0.0	240410	response	n/a	212
235.8828	0.2	241545	stimulus	n/a	21
236.2705	0.0	241942	response	n/a	121
237.4316	0.2	243131	stimulus	n/a	11
237.7979	0.0	243506	response	n/a	111
239.0146	0.2	244752	stimulus	n/a	12
239.3184	0.0	245063	response	n/a	212
240.4971	0.2	246270	stimulus	n/a	12
240.8145	0.0	246595	response	n/a	212
241.9639	0.2	247772	stimulus	n/a	12
242.2939	0.0	248110	response	n/a	212
243.3633	0.2	249205	stimulus	n/a	21
243.7900	0.0	249642	response	n/a	121
244.9629	0.2	250843	stimulus	n/a	12
245.3184	0.0	251207	response	n/a	212
246.4287	0.2	252344	stimulus	n/a	12
246.7822	0.0	252706	response	n/a	212
247.8613	0.2	253811	stimulus	n/a	22
248.2461	0.0	254205	response	n/a	122
249.4609	0.2	255449	stimulus	n/a	21
249.9336	0.0	255933	response	n/a	121
251.0273	0.2	257053	stimulus	n/a	22
251.5020	0.0	257539	response	n/a	122
273.4023	0.2	279965	stimulus	n/a	12
273.7891	0.0	280361	response	n/a	212
274.9688	0.2	281569	stimulus	n/a	12
275.2773	0.0	281885	response	n/a	212
276.3682	0.2	283002	stimulus	n/a	21
276.7891	0.0	283433	response	n/a	121
277.9004	0.2	284571	stimulus	n/a	12
278.2373	0.0	284916	response	n/a	212
279.4336	0.2	286141	stimulus	n/a	22
279.7812	0.0	286497	response	n/a	222
280.9326	0.2	287676	stimulus	n/a	22
281.2695	0.0	288021	response	n/a	222
282.4990	0.2	289280	stimulus	n/a	21
282.9170	0.0	289708	response	n/a	121
283.9824	0.2	290799	stimulus	n/a	11
284.3486	0.0	291174	response	n/a	111
285.4316	0.2	292283	stimulus	n/a	11
285.7891	0.0	292649	response	n/a	111
287.0146	0.2	293904	stimulus	n/a	22
287.3730	0.0	294271	response	n/a	222
288.5137	0.2	295439	stimulus	n/a	21
288.9326	0.0	295868	response	n/a	121
290.0967	0.2	297060	stimulus	n/a	12
290.4365	0.0	297408	response	n/a	212
291.5293	0.2	298527	stimulus	n/a	21
291.9248	0.0	298932	response	n/a	121
293.0117	0.2	300045	stimulus	n/a	22
293.3564	0.0	300398	response	n/a	122
294.4619	0.2	301530	stimulus	n/a	11
294.8291	0.0	301906	response	n/a	111
295.8945	0.2	302997	stimulus	n/a	22
296.3252	0.0	303438	response	n/a	222
297.3438	0.2	304481	stimulus	n/a	11
297.6611	0.0	304806	response	n/a	111
298.8770	0.2	306051	stimulus	n/a	12
299.1885	0.0	306370	response	n/a	212
300.2764	0.2	307484	stimulus	n/a	11
300.6123	0.0	307828	response	n/a	111
301.7090	0.2	308951	stimulus	n/a	12
302.0205	0.0	309270	response	n/a	212
303.1250	0.2	310401	stimulus	n/a	11
303.4766	0.0	310761	response	n/a	111
304.6582	0.2	311971	stimulus	n/a	21
305.1328	0.0	312457	response	n/a	121
306.1240	0.2	313472	stimulus	n/a	21
306.5723	0.0	313931	response	n/a	121
307.5898	0.2	314973	stimulus	n/a	12
307.9326	0.0	315324	response	n/a	212
309.0234	0.2	316441	stimulus	n/a	22
309.4043	0.0	316831	response	n/a	222
310.5889	0.2	318044	stimulus	n/a	22
310.9404	0.0	318404	response	n/a	122
312.1387	0.2	319631	stimulus	n/a	11
312.4609	0.0	319961	response	n/a	111
313.6543	0.2	321183	stimulus	n/a	21
314.1006	0.0	321640	response	n/a	121
315.1709	0.2	322736	stimulus	n/a	11
315.5088	0.0	323082	response	n/a	111
316.7539	0.2	324357	stimulus	n/a	22
317.1240	0.0	324736	response	n/a	222
318.2031	0.2	325841	stimulus	n/a	12
318.5244	0.0	326170	response	n/a	212
319.7021	0.2	327376	stimulus	n/a	12
320.0361	0.0	327718	response	n/a	212
321.2188	0.2	328929	stimulus	n/a	21
321.6123	0.0	329332	response	n/a	121
322.7178	0.2	330464	stimulus	n/a	11
323.0439	0.0	330798	response	n/a	111
324.1680	0.2	331949	stimulus	n/a	22
324.5879	0.0	332379	response	n/a	222
325.6338	0.2	333450	stimulus	n/a	21
326.0127	0.0	333838	response	n/a	121
327.1504	0.2	335003	stimulus	n/a	12
327.4766	0.0	335337	response	n/a	212
328.6826	0.2	336572	stimulus	n/a	22
329.0518	0.0	336950	response	n/a	122
330.1152	0.2	338039	stimulus	n/a	21
330.5322	0.0	338466	response	n/a	121
331.6484	0.2	339609	stimulus	n/a	11
331.9717	0.0	339940	response	n/a	111
348.6592	0.2	357028	stimulus	n/a	12
349.0918	0.0	357471	response	n/a	212
350.0918	0.2	358495	stimulus	n/a	21
350.5400	0.0	358954	response	n/a	121
351.4912	0.2	359928	stimulus	n/a	21
351.8916	0.0	360338	response	n/a	121
353.0908	0.2	361566	stimulus	n/a	11
353.4600	0.0	361944	response	n/a	111
354.5400	0.2	363050	stimulus	n/a	21
354.8594	0.0	363377	response	n/a	221
356.0732	0.2	364620	stimulus	n/a	21
356.5312	0.0	365089	response	n/a	121
357.6221	0.2	366206	stimulus	n/a	21
358.0352	0.0	366629	response	n/a	121
359.2051	0.2	367827	stimulus	n/a	22
359.6758	0.0	368309	response	n/a	222
360.6875	0.2	369345	stimulus	n/a	12
361.0996	0.0	369767	response	n/a	212
362.1709	0.2	370864	stimulus	n/a	21
362.5957	0.0	371299	response	n/a	121
363.6699	0.2	372399	stimulus	n/a	12
364.0518	0.0	372790	response	n/a	212
365.1699	0.2	373935	stimulus	n/a	11
365.5234	0.0	374297	response	n/a	111
366.7354	0.2	375538	stimulus	n/a	21
367.1152	0.0	375927	response	n/a	121
368.1523	0.2	376989	stimulus	n/a	12
368.5068	0.0	377352	response	n/a	212
369.6016	0.2	378473	stimulus	n/a	12
369.9150	0.0	378794	response	n/a	212
371.0674	0.2	379974	stimulus	n/a	11
371.4434	0.0	380359	response	n/a	111
372.5508	0.2	381493	stimulus	n/a	22
372.9150	0.0	381866	response	n/a	222
374.1494	0.2	383130	stimulus	n/a	12
374.5234	0.0	383513	response	n/a	212
375.6494	0.2	384666	stimulus	n/a	22
376.0596	0.0	385086	response	n/a	222
377.0654	0.2	386116	stimulus	n/a	22
377.3867	0.0	386445	response	n/a	122
378.6484	0.2	387737	stimulus	n/a	11
378.9951	0.0	388092	response	n/a	111
380.0645	0.2	389187	stimulus	n/a	11
380.4346	0.0	389566	response	n/a	111
381.4971	0.2	390654	stimulus	n/a	22
381.9072	0.0	391074	response	n/a	222
382.9297	0.2	392121	stimulus	n/a	22
383.3154	0.0	392516	response	n/a	222
384.3633	0.2	393589	stimulus	n/a	11
384.7227	0.0	393957	response	n/a	111
385.8125	0.2	395073	stimulus	n/a	22
386.1865	0.0	395456	response	n/a	222
387.2617	0.2	396557	stimulus	n/a	12
387.5625	0.0	396865	response	n/a	212
388.8447	0.2	398178	stimulus	n/a	22
389.2109	0.0	398553	response	n/a	222
390.3438	0.2	399713	stimulus	n/a	12
390.6826	0.0	400060	response	n/a	212
391.8105	0.2	401215	stimulus	n/a	21
392.2109	0.0	401625	response	n/a	121
393.3926	0.2	402835	stimulus	n/a	11
393.7471	0.0	403198	response	n/a	111
394.9424	0.2	404422	stimulus	n/a	11
395.2832	0.0	404771	response	n/a	111
396.5088	0.2	406026	stimulus	n/a	12
396.8506	0.0	406376	response	n/a	212
398.1084	0.2	407664	stimulus	n/a	12
398.4189	0.0	407982	response	n/a	212
399.6406	0.2	409233	stimulus	n/a	22
400.0586	0.0	409661	response	n/a	222
401.1904	0.2	410820	stimulus	n/a	21
401.5791	0.0	411218	response	n/a	121
402.6729	0.2	412338	stimulus	n/a	11
402.9785	0.0	412651	response	n/a	111
404.2061	0.2	413908	stimulus	n/a	11
404.5068	0.0	414216	response	n/a	111
405.6719	0.2	415409	stimulus	n/a	21
405.9785	0.0	415723	response	n/a	221
407.2715	0.2	417047	stimulus	n/a	22
407.6904	0.0	417476	response	n/a	222
431.2793	0.2	441631	stimulus	n/a	12
431.6504	0.0	442011	response	n/a	212
432.8125	0.2	443201	stimulus	n/a	21
433.2178	0.0	443616	response	n/a	121
434.2949	0.2	444719	stimulus	n/a	11
434.6104	0.0	445042	response	n/a	111
435.7109	0.2	446169	stimulus	n/a	12
436.0176	0.0	446483	response	n/a	212
437.3105	0.2	447807	stimulus	n/a	12
437.6338	0.0	448138	response	n/a	212
438.7432	0.2	449274	stimulus	n/a	21
439.1377	0.0	449678	response	n/a	121
440.2598	0.2	450827	stimulus	n/a	22
